district_id,incumbent_2025,incumbent_party,pvi_string,pvi_numeric,is_open_seat,retirement_reason,war,generic_ballot,predicted_margin,predicted_winner,d_win_pct,r_win_pct,race_rating,potential_flip,sim_avg_margin,sim_margin_std
KS-03,Sharice Davids,D,D+2,2.0,False,,-6.7,6.6,6.5,D,88.0,12.0,Lean D,False,6.44,5.42
OH-07,Max Miller,R,R+7,-7.0,False,,0.6,6.6,-6.54,R,11.7,88.3,Lean R,False,-6.26,5.37
GA-02,Sanford Bishop,D,D+4,4.0,False,,-3.0,6.6,6.66,D,90.1,9.9,Likely D,False,6.94,5.37
CA-01,Doug LaMalfa,R,D+7,7.0,False,,2.9,6.6,6.73,D,89.3,10.7,Lean D,True,6.48,5.17
FL-27,Maria Elvira Salazar,R,R+6,-6.0,False,,3.0,6.6,-6.74,R,13.2,86.8,Lean R,False,-6.42,5.41
SC-02,Joe Wilson,R,R+7,-7.0,False,,1.1,6.6,-6.79,R,11.0,89.0,Lean R,False,-6.7,5.37
NJ-03,Herb Conaway,D,D+5,5.0,False,,-1.4,6.6,6.87,D,90.6,9.4,Likely D,False,6.85,5.34
OK-05,Stephanie Bice,R,R+9,-9.0,False,,-2.6,6.6,-6.96,R,9.8,90.2,Likely R,False,-6.98,5.4
CA-47,Dave Min,D,D+6,6.0,False,,0.4,6.6,6.98,D,91.0,9.0,Likely D,False,6.82,5.19
NY-02,Andrew Garbarino,R,R+6,-6.0,False,,3.7,6.6,-7.09,R,9.5,90.5,Likely R,False,-7.25,5.35
CA-50,Scott Peters,D,D+8,8.0,False,,4.1,6.6,7.15,D,88.4,11.6,Lean D,False,6.88,5.58
NY-18,Pat Ryan,D,D+2,2.0,False,,-8.1,6.6,7.21,D,91.3,8.7,Likely D,False,7.35,5.34
GA-01,Buddy Carter,R,R+8,-8.0,True,Running for Senate,0.0,6.6,-7.26,R,10.6,89.4,Lean R,False,-7.04,5.48
MO-02,Ann Wagner,R,R+9,-9.0,False,,-2.0,6.6,-7.27,R,8.5,91.5,Likely R,False,-7.14,5.21
AL-02,Shomari Figures,D,D+5,5.0,False,,-2.2,6.6,7.28,D,91.0,9.0,Likely D,False,7.32,5.28
PA-12,Summer Lee,D,D+10,10.0,False,,7.8,6.6,7.31,D,91.8,8.2,Likely D,False,7.64,5.52
NC-11,Chuck Edwards,R,R+9,-9.0,False,,-1.5,6.6,-7.52,R,9.2,90.8,Likely R,False,-7.08,5.27
FL-11,Daniel Webster,R,R+8,-8.0,False,,0.6,6.6,-7.57,R,7.4,92.6,Likely R,False,-7.69,5.34
FL-21,Brian Mast,R,R+7,-7.0,False,,2.7,6.6,-7.61,R,8.5,91.5,Likely R,False,-7.49,5.36
GA-12,Rick Allen,R,R+7,-7.0,False,,2.7,6.6,-7.61,R,7.4,92.6,Likely R,False,-7.84,5.27
CA-40,Young Kim,R,R+7,-7.0,False,,2.8,6.6,-7.66,R,6.7,93.3,Likely R,False,-7.96,5.26
NM-01,Melanie Stansbury,D,D+7,7.0,False,,1.1,6.6,7.66,D,93.1,6.9,Likely D,False,7.92,5.36
IN-05,Victoria Spartz,R,R+8,-8.0,False,,0.9,6.6,-7.72,R,7.6,92.4,Likely R,False,-7.77,5.41
NY-22,John Mannion,D,D+4,4.0,False,,-5.1,6.6,7.74,D,92.7,7.3,Likely D,False,7.59,5.17
FL-09,Darren Soto,D,D+4,4.0,False,,-5.3,6.6,7.84,D,94.3,5.7,Likely D,False,7.97,5.14
IL-13,Nikki Budzinski,D,D+5,5.0,False,,-3.3,6.6,7.85,D,91.8,8.2,Likely D,False,7.81,5.35
MD-01,Andy Harris,R,R+8,-8.0,False,,1.6,6.6,-8.08,R,5.8,94.2,Likely R,False,-8.18,5.25
RI-02,Seth Magaziner,D,D+4,4.0,False,,-5.8,6.6,8.1,D,92.3,7.7,Likely D,False,8.03,5.53
SC-04,William Timmons,R,R+11,-11.0,False,,-4.4,6.6,-8.1,R,6.3,93.7,Likely R,False,-8.21,5.42
CT-02,Joe Courtney,D,D+4,4.0,False,,-5.8,6.6,8.1,D,92.6,7.4,Likely D,False,7.91,5.43
CA-22,David Valadao,R,D+8,8.0,False,,2.2,6.6,8.12,D,93.8,6.2,Likely D,True,8.17,5.23
OH-08,Warren Davidson,R,R+10,-10.0,False,,-2.3,6.6,-8.14,R,6.5,93.5,Likely R,False,-8.17,5.37
CO-07,Brittany Pettersen,D,D+8,8.0,False,,2.0,6.6,8.23,D,93.2,6.8,Likely D,False,8.2,5.44
NJ-06,Frank Pallone,D,D+5,5.0,False,,-4.1,6.6,8.26,D,94.9,5.1,Likely D,False,8.21,5.38
TX-22,Troy Nehls,R,R+9,-9.0,True,Retiring,0.0,6.6,-8.29,R,5.1,94.9,Likely R,False,-8.31,5.28
FL-03,Kat Cammack,R,R+10,-10.0,False,,-2.0,6.6,-8.3,R,6.3,93.7,Likely R,False,-8.1,5.31
FL-14,Kathy Castor,D,D+5,5.0,False,,-4.3,6.6,8.36,D,93.6,6.4,Likely D,False,8.02,5.24
CA-42,Robert Garcia,D,D+8,8.0,False,,1.7,6.6,8.38,D,94.9,5.1,Likely D,False,8.34,5.34
TX-23,Tony Gonzales,R,R+7,-7.0,False,,4.2,6.6,-8.38,R,6.0,94.0,Likely R,False,-8.23,5.42
FL-02,Neal Dunn,R,R+8,-8.0,False,,2.3,6.6,-8.44,R,6.5,93.5,Likely R,False,-8.31,5.47
WI-06,Glenn Grothman,R,R+8,-8.0,False,,2.5,6.6,-8.54,R,5.0,95.0,Likely R,False,-8.39,5.17
